id,vertex_index,distance,angle,x,y
4,9,0.00091055,111.02041,100.5393742,5.254260317
4,10,0.001017286,117.9201527,100.5393883,5.254154517
4,11,0.001105158,41.57146383,100.5394669,5.254193814
4,12,0.001176869,76.80313636,100.539491,5.254261325
4,13,0.001250982,90.12574292,100.5395444,5.254209936
4,14,0.001341494,103.1539713,100.5396099,5.254272409
4,15,0.001420866,156.9249483,100.5396371,5.254197845
4,16,0.001533075,159.8153168,100.5396865,5.254097083
4,17,0.001655756,184.9351731,100.5397167,5.253978184
4,18,0.001825793,277.2928623,100.5396472,5.25382301
4,19,0.001935124,3.884902251,100.5396291,5.253930825
4,20,0.002033283,327.3592665,100.5396583,5.254024534
4,21,0.002111521,309.9370131,100.5395807,5.25403461
4,22,0.002211905,286.103935,100.5395505,5.254130334
4,23,0.002324149,244.4877356,100.5394648,5.254057786
4,24,0.002426714,284.6278496,100.5393641,5.254038641
4,25,0.002533279,292.9971329,100.5392825,5.254107159
4,26,0.002639658,229.3115724,100.5391767,5.254118243
4,27,0.002705223,182.6425453,100.5391736,5.254052747
5,0,0,177.614056,100.5397309,5.253864322
5,1,0.000121019,189.2937747,100.5397359,5.253743408
5,2,0.000250513,144.406207,100.5396895,5.253622493
5,3,0.000357397,51.79504709,100.5397963,5.253626524
5,4,0.000479888,77.4608051,100.5398296,5.253744416
5,5,0.000617051,98.37468588,100.5399193,5.253640631
5,6,0.000705383,9.242538174,100.5399938,5.253687989
5,7,0.000809246,10.89499742,100.5399283,5.253768598
5,8,0.000900362,50.8021951,100.5400079,5.253812934
5,9,0.001005391,19.88679251,100.5400765,5.253892536
5,10,0.00112733,355.3130398,100.5400745,5.254014458
5,11,0.001237341,357.2177181,100.5400583,5.254123281
5,12,0.001358406,339.6077986,100.5400644,5.254244195
5,13,0.001448918,247.9527889,100.5400019,5.254309691
5,14,0.001706877,177.4790662,100.5400039,5.25405174
5,15,0.001820094,199.6102429,100.540013,5.253938886
5,16,0.001923428,292.1501425,100.5399414,5.253864322
5,17,0.002042332,1.79E-12,100.5399425,5.253983222
5,18,0.002161235,352.3279199,100.5399414,5.254102121
5,19,0.002263398,341.5834388,100.5399152,5.254200868
5,20,0.002356299,307.0369993,100.5398805,5.254287019
5,21,0.0024328,251.3125284,100.5398044,5.25429508
5,22,0.002510492,166.4044504,100.539748,5.254241676
5,23,0.002593399,134.6025717,100.5398276,5.254218501
5,24,0.002762009,170.591441,100.539877,5.254057282
5,25,0.002891047,258.20434,100.539881,5.253928306
5,26,0.003102669,255.5641228,100.5398024,5.254124792
5,27,0.003233648,173.4236592,100.5398185,5.253994809
5,28,0.003357274,173.9176633,100.5398316,5.25387188
6,0,0,259.2611029,100.5401934,5.253679424
6,1,0.000118968,306.0680433,100.5400765,5.253657256
6,2,0.000232699,33.03830594,100.5400624,5.25377011
6,3,0.000344268,46.09914119,100.5401692,5.253802354
6,4,0.000474278,6.594963623,100.5402115,5.253925283
6,5,0.000593791,356.1728314,100.5401994,5.254044183
6,6,0.000718801,343.130799,100.5401954,5.254169128
6,7,0.000879012,33.11965528,100.5401107,5.254305156
6,8,0.000950262,93.82829715,100.5401813,5.25429508
6,9,0.001072188,133.570274,100.5403032,5.254296088
6,10,0.001193207,104.7400168,100.5403082,5.254175173
6,11,0.0013688,106.993537,100.5404009,5.254324301
6,12,0.001477697,163.7792859,100.5403969,5.254215478
6,13,0.001587819,168.9831415,100.5404594,5.254124792
6,14,0.001699296,190.995565,100.5404352,5.254015969
6,15,0.001797362,168.6550135,100.5404191,5.253919238
6,16,0.001880672,140.5288971,100.5404634,5.253848704
6,17,0.001971916,141.2797107,100.5405299,5.253786232
6,18,0.002098412,208.4563419,100.5405944,5.253677409
6,19,0.002193214,295.1893226,100.5404997,5.253673378
6,20,0.00226657,271.9350537,100.5404553,5.25373182
6,21,0.002349415,289.6182554,100.5404009,5.253669348
6,22,0.002476439,354.2517185,100.5403969,5.253796308
6,23,0.002740159,270.9018656,100.5403526,5.254056274
6,24,0.002871768,192.2039952,100.5403264,5.253927299
6,25,0.002997894,186.4629996,100.5402981,5.253804369
6,26,0.003128885,180,100.5402981,5.253673378
7,0,0,148.7173463,100.5404846,5.254316744
7,1,4.65718E-05,152.1366958,100.5405087,5.254276943
7,2,0.000156148,158.4760414,100.5405541,5.254177189
7,3,0.000291171,223.9788792,100.5405972,5.254049221
7,4,0.00037159,231.2401574,100.5405201,5.254072144
7,5,0.000493696,161.321853,100.5405288,5.253950348
7,6,0.000638322,144.3681809,100.5406081,5.253829434
7,7,0.000816353,66.86897969,100.5407177,5.253689122
7,8,0.000916138,350.0313699,100.5407033,5.253787869
7,9,0.00101208,351.228189,100.5406839,5.25388183
7,10,0.001105524,352.619232,100.5406744,5.253974783
7,11,0.00128744,351.4261478,100.5406463,5.254154517
7,12,0.001377678,354.1594158,100.5406333,5.254243817
7,13,0.001464361,312.5182472,100.5406281,5.254330347
7,14,0.001483009,268.4518423,100.5406095,5.254329843
8,0,0,309.8055711,100.5410787,5.254277321
8,1,0.000102307,240.4164722,100.5410001,5.254342816
8,2,0.000218599,172.5773726,100.5410182,5.254227947
8,3,0.000395863,172.1606395,100.5410364,5.254051614
8,4,0.00047869,171.2143706,100.5410505,5.253969997
8,5,0.000568181,169.1688288,100.5410626,5.253881326
8,6,0.000668868,170.1961153,100.5410867,5.253783587
8,7,0.000749879,129.2099032,100.5410948,5.253702977
8,8,0.000858263,41.1338893,100.5412026,5.253714061
8,9,0.000982266,350.3597041,100.5411986,5.253837998
8,10,0.001089982,346.2507156,100.5411663,5.253940776
8,11,0.00118209,56.80473477,100.5411502,5.254031461
8,12,0.001312879,162.5303449,100.541259,5.253958913
8,13,0.001362652,183.6671894,100.5412409,5.253912562
8,14,0.00155376,87.56305179,100.5412872,5.25372716
8,15,0.00168032,79.6154176,100.5413074,5.253852105
8,16,0.001757058,141.0278503,100.5413457,5.253785602
8,17,0.001838395,62.19628457,100.5414061,5.253731191
8,18,0.001960379,346.6504358,100.54139,5.253852105
8,19,0.002151256,323.402619,100.5413276,5.254032469
8,20,0.00225949,305.209123,100.5412399,5.254095949
8,21,0.002396441,347.3013822,100.541127,5.254173536
8,22,0.002498926,72.92475612,100.5411784,5.254262207
8,23,0.002626465,124.4417629,100.5412933,5.254206787
8,24,0.002735535,61.94634797,100.5413729,5.254132223
8,25,0.0028611,349.6575515,100.5413527,5.254256161
8,26,0.002942318,308.0439227,100.5413366,5.254335763
8,27,0.003036114,273.668516,100.5412429,5.254331732
8,28,0.003148593,279.7998487,100.5411321,5.254350877
9,0,0,194.1780644,100.5414626,5.254271275
9,1,9.87314E-05,185.0016473,100.5414384,5.254175551
9,2,0.000237143,174.7249546,100.5414485,5.254037507
9,3,0.000418629,154.3123395,100.5414686,5.253857143
9,4,0.000434304,147.1306454,100.5414797,5.253846059
9,5,0.000545279,121.275727,100.541519,5.253742274
9,6,0.000666013,27.22959744,100.5416389,5.253756381
9,7,0.000791384,336.7969229,100.5415785,5.253866212
9,8,0.001024972,358.5228441,100.5415079,5.254088896
9,9,0.001120775,91.07797057,100.5415321,5.254181597
9,10,0.001316845,151.7015593,100.5415744,5.253990149
9,11,0.001410905,135.2443074,100.5416399,5.253922638
9,12,0.001518494,149.6294735,100.5417165,5.253847067
9,13,0.001613585,123.6747157,100.5417417,5.253755373
9,14,0.001700946,34.26649163,100.5418283,5.253766457
9,15,0.001799678,330.751998,100.5418042,5.253862181
9,16,0.001919385,316.7452726,100.5417205,5.253947829
9,17,0.002108424,28.92080272,100.5415936,5.254087888
9,18,0.002241449,38.79518359,100.5417246,5.254064713
9,19,0.002341746,331.4046638,100.5416863,5.254157414
9,20,0.002462844,5.509694651,100.5416172,5.254256917
9,21,0.002622457,340.8789515,100.5417316,5.254368259
9,22,0.002704523,271.7134123,100.54165,5.254376823
9,23,0.00280589,267.1171046,100.5415487,5.254372289
9,24,0.002878048,269.0599775,100.5414767,5.254368259
9,25,0.002943561,271.3219757,100.5414112,5.25436977
10,0,0,153.0411696,100.5418349,5.253979821
10,1,0.000131134,150.663018,100.5418943,5.253862937
10,2,0.000236554,95.10002708,100.5419498,5.253773259
10,3,0.000355714,10.70892356,100.5420294,5.253861929
10,4,0.000470816,351.6426524,100.5419891,5.253969745
10,5,0.000593005,344.947843,100.5419971,5.254091667
10,6,0.000674329,329.5771051,100.5419518,5.254159177
10,7,0.000805463,353.3860007,100.5418923,5.254276061
10,8,0.000920081,323.5257187,100.5419195,5.254387403
10,9,0.000994013,239.340257,100.5418457,5.254391686
10,10,0.001106496,193.0209843,100.5417975,5.254290042
10,11,0.001191142,160.9261177,100.5417965,5.254205402
10,12,0.001297206,146.253109,100.541863,5.254122777
10,13,0.001383333,220.7804512,100.5419044,5.254047206
10,14,0.001485346,290.2248594,100.5418086,5.254082472
